,continent
0,Asia
1,Europe
2,Africa
3,Europe
4,Africa
5,North America
6,South America
7,Europe
8,Oceania
9,Europe
10,Europe
11,North America
12,Asia
13,Asia
14,North America
15,Europe
16,Europe
17,North America
18,Africa
19,Asia
20,South America
21,Europe
22,Africa
23,South America
24,Asia
25,Europe
26,Africa
27,Africa
28,Africa
29,Africa
30,Asia
31,Africa
32,North America
33,Africa
34,Africa
35,South America
36,Asia
37,South America
38,Africa
39,Africa
40,Oceania
41,North America
42,Europe
43,North America
44,Europe
45,Europe
46,Asia
47,Africa
48,Europe
49,Africa
50,North America
51,North America
52,South America
53,Africa
54,North America
55,Africa
56,Africa
57,Europe
58,Africa
59,Oceania
60,Europe
61,Europe
62,Africa
63,Africa
64,Europe
65,Europe
66,Africa
67,Europe
68,North America
69,North America
70,Africa
71,Africa
72,South America
73,North America
74,North America
75,Europe
76,Europe
77,Asia
78,Asia
79,Asia
80,Asia
81,Europe
82,Asia
83,Europe
84,North America
85,Asia
86,Asia
87,Asia
88,Africa
89,Oceania
90,Asia
91,Asia
92,Asia
93,Europe
94,Asia
95,Africa
96,Africa
97,Africa
98,Europe
99,Europe
100,Africa
101,Africa
102,Asia
103,Asia
104,Africa
105,Europe
106,Oceania
107,Africa
108,Africa
109,North America
110,Oceania
111,Europe
112,Asia
113,Europe
114,Africa
115,Africa
116,Asia
117,Africa
118,Oceania
119,Asia
120,Europe
121,Oceania
122,North America
123,Africa
124,Africa
125,Oceania
126,Europe
127,Asia
128,Asia
129,Oceania
130,North America
131,Oceania
132,South America
133,South America
134,Asia
135,Europe
136,Europe
137,Asia
138,Asia
139,Europe
140,Europe
141,Asia
142,Africa
143,North America
144,North America
145,North America
146,Oceania
147,Europe
148,Africa
149,Asia
150,Africa
151,Europe
152,Africa
153,Africa
154,Asia
155,Europe
156,Europe
157,Oceania
158,Africa
159,Africa
160,Europe
161,Asia
162,Africa
163,South America
164,Africa
165,Europe
166,Europe
167,Asia
168,Asia
169,Asia
170,Europe
171,Asia
172,Africa
173,Oceania
174,North America
175,Africa
176,Asia
177,Asia
178,Oceania
179,Africa
180,Europe
181,Asia
182,Europe
183,Africa
184,North America
185,South America
186,Asia
187,Oceania
188,South America
189,Asia
190,Asia
191,Africa
192,Africa
